joint.wheel_joint_r,joint.wheel_joint_l,joint.arm_joint_0,joint.arm_joint_1,joint.arm_joint_2,joint.arm_joint_3,joint.arm_joint_4,joint.arm_joint_5,joint.arm_joint_6,joint.gripper_finger_joint_r,joint.gripper_finger_joint_l,joint.head_pan_joint,joint.head_tilt_joint
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
0.01100,0.00900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,50.00000,0.00000,0.00000
